target_id	length	eff_length	est_counts	tpm
lcl|AM181176.4_cds_CAY46317.1_32	1149	981.211	108	9.36541
lcl|AM181176.4_cds_CAY46318.1_33	1311	1143.21	63	4.689
lcl|AM181176.4_cds_CAY46319.1_34	441	274.213	31	9.6192
lcl|AM181176.4_cds_CAY46320.1_35	810	642.211	295	39.085
lcl|AM181176.4_cds_CAY46321.1_36	1227	1059.21	509	40.8885
lcl|AM181176.4_cds_CAY46322.1_37	897	729.211	122	14.2355
lcl|AM181176.4_cds_CAY46323.1_38	327	164.075	608	315.303
lcl|AM181176.4_cds_CAY46324.1_39	216	69.9169	174	211.755
lcl|AM181176.4_cds_CAY46325.1_40	228	78.8616	406	438.052
lcl|AM181176.4_cds_CAY46326.1_41	1002	834.211	710	72.4183
lcl|AM181176.4_cds_CAY46327.1_42	432	265.332	363	116.408
lcl|AM181176.4_cds_CAY46328.1_43	240	88.3624	239	230.142
lcl|AM181176.4_cds_CAY46329.1_44	423	256.468	361	119.768
lcl|AM181176.4_cds_CAY46330.1_45	1044	876.211	267	25.928
lcl|AM181176.4_cds_CAY46331.1_46	660	492.221	415	71.7387
lcl|AM181176.4_cds_CAY46332.1_47	543	375.397	506	114.69
lcl|AM181176.4_cds_CAY46333.1_48	2061	1893.21	3304	148.493
lcl|AM181176.4_cds_CAY46334.1_49	276	118.161	136	97.9333
lcl|AM181176.4_cds_CAY46335.1_50	666	498.221	116	19.8108
lcl|AM181176.4_cds_CAY46336.1_51	753	585.211	276	40.1294
lcl|AM181176.4_cds_CAY46337.1_52	1785	1617.21	732	38.5132
lcl|AM181176.4_cds_CAY46338.1_53	1305	1137.21	497	37.1861
lcl|AM181176.4_cds_CAY46339.1_54	1059	891.211	74	7.06508
lcl|AM181176.4_cds_CAY46340.1_55	708	540.211	2045	322.104
lcl|AM181176.4_cds_CAY46341.1_56	1548	1380.21	698	43.0304
lcl|AM181176.4_cds_CAY46342.1_57	648	480.26	420	74.4112
lcl|AM181176.4_cds_CAY46343.1_58	1128	960.211	150	13.292
lcl|AM181176.4_cds_CAY46344.1_59	1587	1419.21	104	6.23522
lcl|AM181176.4_cds_CAY46345.1_60	561	393.351	26	5.62417
lcl|AM181176.4_cds_CAY46346.1_61	888	720.211	37	4.37127
lcl|AM181176.4_cds_CAY46347.1_62	204	61.3662	9	12.479
lcl|AM181176.4_cds_CAY46348.1_63	765	597.211	13	1.85217
lcl|AM181176.4_cds_CAY46349.1_64	585	417.303	19	3.87407
lcl|AM181176.4_cds_CAY46350.1_65	1080	912.211	21	1.9588
lcl|AM181176.4_cds_CAY46351.1_66	900	732.211	45	5.22928
lcl|AM181176.4_cds_CAY46352.1_67	636	468.26	278	50.5153
lcl|AM181176.4_cds_CAY46353.1_68	771	603.211	1708	240.926
lcl|AM181176.4_cds_CAY46354.1_69	675	507.221	478	80.1856
lcl|AM181176.4_cds_CAY46355.1_70	1008	840.211	923	93.4715
lcl|AM181176.4_cds_CAY46356.1_71	2142	1974.21	614	26.4631
lcl|AM181176.4_cds_CAY46357.1_72	720	552.211	644	99.2308
lcl|AM181176.4_cds_CAY46358.1_73	789	621.211	341	46.7069
lcl|AM181176.4_cds_CAY46359.1_74	786	618.211	364	50.0991
lcl|AM181176.4_cds_CAY46360.1_75	483	315.694	238	64.147
lcl|AM181176.4_cds_CAY46361.1_76	930	762.211	342	38.1783
lcl|AM181176.4_cds_CAY46362.1_77	954	786.211	1605	173.701
lcl|AM181176.4_cds_CAY46363.1_78	291	131.185	833	540.287
lcl|AM181176.4_cds_CAY46364.1_79	2790	2622.21	3109	100.883
lcl|AM181176.4_cds_CAY46365.1_80	642	474.26	1184	212.423
lcl|AM181176.4_cds_CAY46366.1_81	303	141.931	1787	1071.31
lcl|AM181176.4_cds_CAY46367.1_82	627	459.27	3768	698.086
lcl|AM181176.4_cds_CAY46368.1_83	636	468.26	2358	428.472
lcl|AM181176.4_cds_CAY46369.1_84	879	711.211	1252	149.786
lcl|AM181176.4_cds_CAY46370.1_85	2055	1887.21	1209	54.5094
lcl|AM181176.4_cds_CAY46371.1_86	813	645.211	464	61.1902
lcl|AM181176.4_cds_CAY46372.1_87	1788	1620.21	825	43.3259
lcl|AM181176.4_cds_CAY46373.1_88	1347	1179.21	1102	79.5162
lcl|AM181176.4_cds_CAY46374.1_89	285	125.91	468	316.265
lcl|AM181176.4_cds_CAY46375.1_90	165	37.3453	432	984.269
lcl|AM181176.4_cds_CAY46376.1_91	468	300.835	899	254.271
lcl|AM181176.4_cds_CAY46377.1_92	1332	1164.21	2964	216.627
lcl|AM181176.4_cds_CAY46378.1_93	1230	1062.21	508	40.6929
lcl|AM181176.4_cds_CAY46379.1_94	612	444.27	172	32.9418
lcl|AM181176.4_cds_CAY46380.1_95	939	771.211	162	17.8734
lcl|AM181176.4_cds_CAY46381.1_96	804	636.211	99	13.2404
lcl|AM181176.4_cds_CAY46382.1_97	1149	981.211	332	28.79
lcl|AM181176.4_cds_CAY46383.1_98	1032	864.211	304	29.9309
lcl|AM181176.4_cds_CAY46384.1_99	1383	1215.21	311	21.7758
lcl|AM181176.4_cds_CAY46385.1_100	1659	1491.21	381	21.7396
lcl|AM181176.4_cds_CAY46386.1_101	768	600.211	1546	219.165
lcl|AM181176.4_cds_CAY46387.1_102	1308	1140.21	1647	122.906
lcl|AM181176.4_cds_CAY46388.1_103	1962	1794.21	878	41.6377
lcl|AM181176.4_cds_CAY46389.1_104	321	158.48	614	329.655
lcl|AM181176.4_cds_CAY46390.1_105	309	147.452	285	164.46
lcl|AM181176.4_cds_CAY46391.1_106	321	158.48	474	254.489
lcl|AM181176.4_cds_CAY46392.1_107	186	49.5661	43	73.8159
lcl|AM181176.4_cds_CAY46393.1_108	216	69.9169	2950	3590.09
lcl|AM181176.4_cds_CAY46394.1_109	1494	1326.21	2888	185.289
lcl|AM181176.4_cds_CAY46395.1_110	1437	1269.21	1020	68.3805
lcl|AM181176.4_cds_CAY46396.1_111	321	158.48	268	143.889
lcl|AM181176.4_cds_CAY46397.1_112	1122	954.211	1102	98.2659
lcl|AM181176.4_cds_CAY46398.1_113	900	732.211	137	15.9203
lcl|AM181176.4_cds_CAY46399.1_114	1182	1014.21	280	23.4907
lcl|AM181176.4_cds_CAY46400.1_115	1221	1053.21	181	14.6227
lcl|AM181176.4_cds_CAY46401.1_116	1881	1713.21	834	41.421
lcl|AM181176.4_cds_CAY46402.1_117	459	291.971	73	21.2739
lcl|AM181176.4_cds_CAY46403.1_118	3372	3204.21	315	8.36479
lcl|AM181176.4_cds_CAY46404.1_119	948	780.211	82	8.94267
lcl|AM181176.4_cds_CAY46405.1_120	768	600.211	70	9.92338
lcl|AM181176.4_cds_CAY46406.1_121	699	531.211	338	54.1396
lcl|AM181176.4_cds_CAY46407.1_122	894	726.211	75	8.78748
lcl|AM181176.4_cds_CAY46408.1_123	1032	864.211	50	4.92284
lcl|AM181176.4_cds_CAY46409.1_124	852	684.211	20	2.48717
lcl|AM181176.4_cds_CAY46410.1_125	849	681.211	33	4.1219
lcl|AM181176.4_cds_CAY46411.1_126	627	459.27	175	32.4217
lcl|AM181176.4_cds_CAY46413.1_127	921	753.211	199	22.4803
lcl|AM181176.4_cds_CAY46414.1_128	1536	1368.21	61	3.79352
lcl|AM181176.4_cds_CAY46415.1_129	1059	891.211	31	2.95969
lcl|AM181176.4_cds_CAY46416.1_130	1446	1278.21	102	6.7899
lcl|AM181176.4_cds_CAY46417.1_131	705	537.211	141	22.3326
lcl|AM181176.4_cds_CAY46418.1_132	2169	2001.21	1049	44.6014
lcl|AM181176.4_cds_CAY46419.1_133	1605	1437.21	278	16.4585
lcl|AM181176.4_cds_CAY46420.1_134	255	100.513	30	25.396
lcl|AM181176.4_cds_CAY46421.1_135	438	271.241	93	29.1739
lcl|AM181176.4_cds_CAY46422.1_136	2079	1911.21	234	10.4177
lcl|AM181176.4_cds_CAY46423.1_137	210	65.5751	16	20.7609
lcl|AM181176.4_cds_CAY46424.1_138	891	723.211	102	12.0005
lcl|AM181176.4_cds_CAY46425.1_139	1443	1275.21	166	11.0762
lcl|AM181176.4_cds_CAY46426.1_140	654	486.241	58	10.1494
lcl|AM181176.4_cds_CAY46427.1_141	1497	1329.21	2168	138.781
lcl|AM181176.4_cds_CAY46428.1_142	2481	2313.21	185	6.80491
lcl|AM181176.4_cds_CAY46429.1_143	1998	1830.21	122	5.67184
lcl|AM181176.4_cds_CAY46430.1_144	1341	1173.21	75	5.4394
lcl|AM181176.4_cds_CAY46431.1_145	489	321.63	15	3.96826
lcl|AM181176.4_cds_CAY46432.1_146	1725	1557.21	491	26.8287
lcl|AM181176.4_cds_CAY46433.1_147	8202	8034.21	2306	24.422
lcl|AM181176.4_cds_CAY46434.1_148	690	522.211	110	17.9231
lcl|AM181176.4_cds_CAY46435.1_149	819	651.211	288	37.6302
lcl|AM181176.4_cds_CAY46436.1_150	399	232.937	87	31.7794
lcl|AM181176.4_cds_CAY46437.1_151	135	23.5553	22	79.4693
lcl|AM181176.4_cds_CAY46438.1_152	450	283.041	86	25.8532
lcl|AM181176.4_cds_CAY46439.1_153	504	336.538	143	36.1549
lcl|AM181176.4_cds_CAY46440.1_154	528	360.427	171	40.3687
lcl|AM181176.4_cds_CAY46441.1_155	417	250.554	113	38.3745
lcl|AM181176.4_cds_CAY46442.1_156	474	306.769	168	46.5977
lcl|AM181176.4_cds_CAY46443.1_157	291	131.185	99	64.2118
lcl|AM181176.4_cds_CAY46444.1_158	114	16.6094	51	261.265
lcl|AM181176.4_cds_CAY46445.1_159	588	420.295	368	74.5005
lcl|AM181176.4_cds_CAY46446.1_160	612	444.27	235	45.0077
lcl|AM181176.4_cds_CAY46447.1_161	582	414.312	527	108.23
lcl|AM181176.4_cds_CAY46448.1_162	681	513.211	1749	289.974
lcl|AM181176.4_cds_CAY46449.1_163	363	198.159	764	328.054
lcl|AM181176.4_cds_CAY46450.1_164	651	483.26	1364	240.159
lcl|AM181176.4_cds_CAY46451.1_165	1656	1488.21	358	20.4684
lcl|AM181176.4_cds_CAY46452.1_166	573	405.32	140	29.3897
lcl|AM181176.4_cds_CAY46453.1_167	594	426.278	102	20.3598
lcl|AM181176.4_cds_CAY46454.1_168	1227	1059.21	215	17.2712
lcl|AM181176.4_cds_CAY46455.1_169	1833	1665.21	331	16.9131
lcl|AM181176.4_cds_CAY46456.1_170	2175	2007.21	222	9.41078
lcl|AM181176.4_cds_CAY46457.1_171	843	675.211	515	64.8983
lcl|AM181176.4_cds_CAY46458.1_172	2889	2721.21	504	15.7592
lcl|AM181176.4_cds_CAY46459.1_173	273	115.577	20	14.724
lcl|AM181176.4_cds_CAY46460.1_174	285	125.91	33	22.3008
lcl|AM181176.4_cds_CAY46461.1_175	486	318.668	71	18.9577
lcl|AM181176.4_cds_CAY46462.1_176	348	183.848	104	48.1327
lcl|AM181176.4_cds_CAY46463.1_177	1236	1068.21	630	50.1821
lcl|AM181176.4_cds_CAY46464.1_178	1443	1275.21	1600	106.759
lcl|AM181176.4_cds_CAY46465.1_179	1278	1110.21	1390	106.531
lcl|AM181176.4_cds_CAY46466.1_180	1209	1041.21	212	17.3246
lcl|AM181176.4_cds_CAY46467.1_181	1008	840.211	336	34.0264
lcl|AM181176.4_cds_CAY46468.1_182	1185	1017.21	2135	178.588
lcl|AM181176.4_cds_CAY46469.1_183	1989	1821.21	1017	47.5145
lcl|AM181176.4_cds_CAY46470.1_184	183	47.6284	28	50.0216
lcl|AM181176.4_cds_CAY46471.1_185	1011	843.211	108	10.8982
lcl|AM181176.4_cds_CAY46472.1_186	819	651.211	322	42.0726
lcl|AM181176.4_cds_CAY46473.1_187	873	705.211	252	30.4051
lcl|AM181176.4_cds_CAY46474.1_188	981	813.211	380	39.76
lcl|AM181176.4_cds_CAY46475.1_189	528	360.427	33	7.79045
lcl|AM181176.4_cds_CAY46476.1_190	687	519.211	228	37.3643
lcl|AM181176.4_cds_CAY46477.1_191	411	244.703	108	37.5534
lcl|AM181176.4_cds_CAY46478.1_192	474	306.769	136	37.7219
lcl|AM181176.4_cds_193	366	201.022	91	38.518
lcl|AM181176.4_cds_CAY46480.1_194	1005	837.211	214	21.7493
lcl|AM181176.4_cds_CAY46481.1_195	1080	912.211	56	5.22346
lcl|AM181176.4_cds_CAY46482.1_196	1611	1443.21	81	4.77552
lcl|AM181176.4_cds_CAY46483.1_197	816	648.211	24	3.15036
lcl|AM181176.4_cds_CAY46484.1_198	1593	1425.21	40	2.38807
lcl|AM181176.4_cds_CAY46485.1_199	1002	834.211	35	3.56991
lcl|AM181176.4_cds_CAY46486.1_200	921	753.211	46	5.19645
lcl|AM181176.4_cds_CAY46487.1_201	906	738.211	82	9.45146
lcl|AM181176.4_cds_CAY46488.1_202	1608	1440.21	62	3.66295
lcl|AM181176.4_cds_CAY46489.1_203	945	777.211	22	2.40852
lcl|AM181176.4_cds_CAY46490.1_204	2316	2148.21	38	1.50512
lcl|AM181176.4_cds_CAY46491.1_205	1188	1020.21	41	3.41948
lcl|AM181176.4_cds_CAY46492.1_206	867	699.211	135	16.4282
lcl|AM181176.4_cds_CAY46493.1_207	816	648.211	39	5.11934
lcl|AM181176.4_cds_CAY46494.1_208	720	552.211	32	4.93072
lcl|AM181176.4_cds_CAY46495.1_209	402	235.857	55	19.8417
lcl|AM181176.4_cds_CAY46496.1_210	582	414.312	53	10.8846
lcl|AM181176.4_cds_CAY46497.1_211	921	753.211	70	7.90764
lcl|AM181176.4_cds_CAY46498.1_212	783	615.211	740	102.347
lcl|AM181176.4_cds_213	534	366.412	416	96.6026
lcl|AM181176.4_cds_CAY46500.1_214	294	133.836	194	123.338
lcl|AM181176.4_cds_CAY46501.1_215	273	115.577	364	267.976
lcl|AM181176.4_cds_216	567	399.32	60	12.7849
lcl|AM181176.4_cds_217	390	224.254	14	5.31194
lcl|AM181176.4_cds_218	588	420.295	45	9.11012
lcl|AM181176.4_cds_219	207	63.4659	8	10.7254
lcl|AM181176.4_cds_CAY46506.1_220	666	498.221	53	9.05147
lcl|AM181176.4_cds_CAY46507.1_221	660	492.221	24	4.14874
lcl|AM181176.4_cds_CAY46508.1_222	777	609.211	48	6.70408
lcl|AM181176.4_cds_CAY46509.1_223	855	687.211	59	7.30512
lcl|AM181176.4_cds_CAY46510.1_224	1161	993.211	172	14.7351
lcl|AM181176.4_cds_CAY46511.1_225	1083	915.211	399	37.0952
lcl|AM181176.4_cds_CAY46512.1_226	1071	903.211	281	26.4718
lcl|AM181176.4_cds_CAY46513.1_227	3066	2898.21	563	16.5289
lcl|AM181176.4_cds_CAY46514.1_228	2178	2010.21	120	5.07932
lcl|AM181176.4_cds_CAY46515.1_229	627	459.27	155	28.7164
lcl|AM181176.4_cds_CAY46516.1_230	645	477.26	26	4.63536
lcl|AM181176.4_cds_CAY46517.1_231	1116	948.211	26	2.3331
lcl|AM181176.4_cds_CAY46518.1_232	816	648.211	41	5.38187
lcl|AM181176.4_cds_CAY46519.1_233	1353	1185.21	45	3.23059
lcl|AM181176.4_cds_CAY46520.1_234	1194	1026.21	27	2.23868
lcl|AM181176.4_cds_CAY46521.1_235	1242	1074.21	71	5.62386
lcl|AM181176.4_cds_CAY46522.1_236	795	627.211	33	4.47678
lcl|AM181176.4_cds_CAY46523.1_237	747	579.211	534	78.4459
lcl|AM181176.4_cds_CAY46524.1_238	666	498.221	459	78.3892
lcl|AM181176.4_cds_CAY46525.1_239	795	627.211	1190	161.435
lcl|AM181176.4_cds_CAY46526.1_240	996	828.211	538	55.2722
lcl|AM181176.4_cds_CAY46527.1_241	957	789.211	97	10.4579
lcl|AM181176.4_cds_CAY46528.1_242	2001	1833.21	1309	60.7565
lcl|AM181176.4_cds_CAY46529.1_243	1356	1188.21	65	4.65463
lcl|AM181176.4_cds_CAY46530.1_244	1038	870.211	1210	118.311
lcl|AM181176.4_cds_CAY46531.1_245	837	669.211	98	12.4603
lcl|AM181176.4_cds_CAY46532.1_246	837	669.211	32	4.06867
lcl|AM181176.4_cds_CAY46533.1_247	780	612.211	48	6.67123
lcl|AM181176.4_cds_CAY46534.1_248	978	810.211	61	6.40615
lcl|AM181176.4_cds_CAY46535.1_249	1584	1416.21	3499	210.224
lcl|AM181176.4_cds_CAY46536.1_250	384	218.428	439	171.01
lcl|AM181176.4_cds_CAY46537.1_251	2325	2157.21	5006	197.453
lcl|AM181176.4_cds_CAY46538.1_252	741	573.211	2957	438.937
lcl|AM181176.4_cds_CAY46539.1_253	1314	1146.21	1504	111.647
lcl|AM181176.4_cds_CAY46540.1_254	906	738.211	330	38.0364
lcl|AM181176.4_cds_CAY46541.1_255	483	315.694	88	23.7182
lcl|AM181176.4_cds_CAY46542.1_256	780	612.211	278	38.6375
lcl|AM181176.4_cds_CAY46543.1_257	408	241.752	478	168.238
lcl|AM181176.4_cds_CAY46544.1_258	804	636.211	1500	200.611
lcl|AM181176.4_cds_CAY46545.1_259	903	735.211	2163	250.328
lcl|AM181176.4_cds_CAY46546.1_260	1542	1374.21	7806	483.327
lcl|AM181176.4_cds_CAY46547.1_261	141	25.905	31	101.822
lcl|AM181176.4_cds_CAY46548.1_262	702	534.211	94	14.972
lcl|AM181176.4_cds_CAY46549.1_263	600	432.27	237	46.6508
lcl|AM181176.4_cds_CAY46550.1_264	171	40.6323	264	552.838
lcl|AM181176.4_cds_CAY46551.1_265	1176	1008.21	381	32.1543
lcl|AM181176.4_cds_CAY46552.1_266	1944	1776.21	319	15.2814
lcl|AM181176.4_cds_CAY46553.1_267	855	687.211	131	16.2199
lcl|AM181176.4_cds_CAY46554.1_268	432	265.332	126	40.4061
lcl|AM181176.4_cds_CAY46555.1_269	480	312.725	216	58.7701
lcl|AM181176.4_cds_CAY46556.1_270	2349	2181.21	114	4.44706
lcl|AM181176.4_cds_CAY46557.1_271	840	672.211	46	5.82261
lcl|AM181176.4_cds_CAY46558.1_272	888	720.211	235	27.7635
lcl|AM181176.4_cds_CAY46559.1_273	441	274.213	445	138.082
lcl|AM181176.4_cds_CAY46560.1_274	663	495.221	260	44.6724
lcl|AM181176.4_cds_CAY46561.1_275	567	399.32	212	45.1732
lcl|AM181176.4_cds_CAY46562.1_276	837	669.211	258	32.8037
lcl|AM181176.4_cds_CAY46563.1_277	456	289.006	169	49.7559
lcl|AM181176.4_cds_CAY46564.1_278	1377	1209.21	389	27.3724
lcl|AM181176.4_cds_CAY46565.1_279	1809	1641.21	510	26.4406
lcl|AM181176.4_cds_CAY46566.1_280	870	702.211	678	82.1538
lcl|AM181176.4_cds_CAY46567.1_281	546	378.397	466	104.786
lcl|AM181176.4_cds_CAY46568.1_282	876	708.211	1152	138.406
lcl|AM181176.4_cds_CAY46569.1_283	1083	915.211	1559	144.941
lcl|AM181176.4_cds_CAY46570.1_284	2910	2742.21	749	23.2406
lcl|AM181176.4_cds_CAY46571.1_285	1107	939.211	503	45.5691
lcl|AM181176.4_cds_CAY46572.1_286	258	103.017	17	14.0412
lcl|AM181176.4_cds_CAY46573.1_287	2088	1920.21	145	6.42517
lcl|AM181176.4_cds_CAY46574.1_288	1302	1134.21	11623	871.947
lcl|AM181176.4_cds_289	393	227.123	81	30.3452
lcl|AM181176.4_cds_CAY46576.1_290	408	241.752	481	169.294
lcl|AM181176.4_cds_CAY46577.1_291	1035	867.211	412	40.4239
lcl|AM181176.4_cds_CAY46578.1_292	2220	2052.21	558	23.1354
lcl|AM181176.4_cds_CAY46579.1_293	2268	2100.21	815	33.0187
lcl|AM181176.4_cds_CAY46580.1_294	1197	1029.21	421	34.8051
lcl|AM181176.4_cds_CAY46581.1_295	3840	3672.21	1401	32.4621
lcl|AM181176.4_cds_CAY46582.1_296	666	498.221	532	90.8563
lcl|AM181176.4_cds_CAY46583.1_297	666	498.221	355	60.6278
lcl|AM181176.4_cds_CAY46584.1_298	1416	1248.21	354	24.1313
lcl|AM181176.4_cds_CAY46585.1_299	1125	957.211	257	22.845
lcl|AM181176.4_cds_CAY46586.1_300	1050	882.211	225	21.7008
lcl|AM181176.4_cds_CAY46587.1_301	1191	1023.21	466	38.7513
lcl|AM181176.4_cds_CAY46588.1_302	690	522.211	550	89.6153
lcl|AM181176.4_cds_CAY46589.1_303	693	525.211	683	110.65
lcl|AM181176.4_cds_CAY46590.1_304	753	585.211	4227	614.59
lcl|AM181176.4_cds_CAY46592.1_305	774	606.211	1024	143.728
lcl|AM181176.4_cds_CAY46593.1_306	1392	1224.21	762	52.962
lcl|AM181176.4_cds_CAY46594.1_307	414	247.639	233	80.0575
lcl|AM181176.4_cds_CAY46595.1_308	954	786.211	64	6.92638
lcl|AM181176.4_cds_CAY46596.1_309	966	798.211	108	11.5126
lcl|AM181176.4_cds_CAY46597.1_310	1593	1425.21	418	24.9553
lcl|AM181176.4_cds_CAY46598.1_311	276	118.161	179	128.898
lcl|AM181176.4_cds_CAY46599.1_312	558	390.351	203	44.2492
lcl|AM181176.4_cds_CAY46600.1_313	273	115.577	350	257.669
lcl|AM181176.4_cds_CAY46601.1_314	1068	900.211	1199	113.329
lcl|AM181176.4_cds_CAY46602.1_315	2211	2043.21	2263	94.2404
lcl|AM181176.4_cds_CAY46603.1_316	1662	1494.21	1293	73.6296
lcl|AM181176.4_cds_CAY46604.1_317	594	426.278	1182	235.934
lcl|AM181176.4_cds_CAY46605.1_318	639	471.26	897	161.956
lcl|AM181176.4_cds_CAY46606.1_319	258	103.017	241	199.055
lcl|AM181176.4_cds_CAY46607.1_320	738	570.211	1424	212.491
lcl|AM181176.4_cds_CAY46608.1_321	771	603.211	928	130.901
lcl|AM181176.4_cds_CAY46609.1_322	756	588.211	371	53.6669
lcl|AM181176.4_cds_CAY46610.1_323	1593	1425.21	256	15.2836
lcl|AM181176.4_cds_CAY46611.1_324	789	621.211	237	32.462
lcl|AM181176.4_cds_CAY46612.1_325	1317	1149.21	1463	108.32
lcl|AM181176.4_cds_CAY46613.1_326	1296	1128.21	1044	78.7364
lcl|AM181176.4_cds_CAY46614.1_327	1527	1359.21	3483	218.038
lcl|AM181176.4_cds_CAY46615.1_328	417	250.554	939	318.882
lcl|AM181176.4_cds_CAY46616.1_329	255	100.513	567	479.984
lcl|AM181176.4_cds_CAY46617.1_330	480	312.725	3753	1021.13
lcl|AM181176.4_cds_CAY46618.1_331	456	289.006	373	109.816
lcl|AM181176.4_cds_CAY46619.1_332	441	274.213	151	46.8548
lcl|AM181176.4_cds_CAY46620.1_333	1437	1269.21	206	13.8102
lcl|AM181176.4_cds_CAY46621.1_334	1086	918.211	139	12.8807
lcl|AM181176.4_cds_CAY46622.1_335	426	259.421	115	37.7188
lcl|AM181176.4_cds_CAY46623.1_336	537	369.405	386	88.9099
lcl|AM181176.4_cds_CAY46624.1_337	237	85.8942	57	56.4646
lcl|AM181176.4_cds_CAY46625.1_338	1407	1239.21	6171	423.717
lcl|AM181176.4_cds_CAY46626.1_339	1455	1287.21	2836	187.466
lcl|AM181176.4_cds_CAY46627.1_340	1821	1653.21	12793	658.43
lcl|AM181176.4_cds_CAY46628.1_341	435	268.289	66	20.9318
lcl|AM181176.4_cds_CAY46629.1_342	2451	2283.21	1002	37.3411
lcl|AM181176.4_cds_CAY46630.1_343	3525	3357.21	696	17.6399
lcl|AM181176.4_cds_CAY46631.1_344	1356	1188.21	355	25.4215
lcl|AM181176.4_cds_CAY46632.1_345	1011	843.211	1963	198.084
lcl|AM181176.4_cds_CAY46633.1_346	255	100.513	267	226.024
lcl|AM181176.4_cds_CAY46634.1_347	570	402.32	643	135.989
lcl|AM181176.4_cds_CAY46635.1_348	1365	1197.21	206	14.6407
lcl|AM181176.4_cds_CAY46636.1_349	750	582.211	399	58.312
lcl|AM181176.4_cds_CAY46637.1_350	561	393.351	146	31.5819
lcl|AM181176.4_cds_CAY46638.1_351	1671	1503.21	681	38.5472
lcl|AM181176.4_cds_CAY46639.1_352	1446	1278.21	83	5.52511
lcl|AM181176.4_cds_CAY46640.1_353	966	798.211	58	6.18267
lcl|AM181176.4_cds_CAY46641.1_354	852	684.211	676	84.0664
lcl|AM181176.4_cds_CAY46642.1_355	825	657.211	101	13.0762
lcl|AM181176.4_cds_CAY46643.1_356	1515	1347.21	180	11.3685
lcl|AM181176.4_cds_CAY46644.1_357	1539	1371.21	366	22.7113
lcl|AM181176.4_cds_CAY46645.1_358	1410	1242.21	100	6.84968
lcl|AM181176.4_cds_CAY46646.1_359	1209	1041.21	170	13.8924
lcl|AM181176.4_cds_CAY46647.1_360	801	633.211	144	19.3499
lcl|AM181176.4_cds_CAY46648.1_361	972	804.211	1344	142.198
lcl|AM181176.4_cds_CAY46649.1_362	438	271.241	326	102.265
lcl|AM181176.4_cds_CAY46650.1_363	1677	1509.21	3346	188.643
lcl|AM181176.4_cds_CAY46651.1_364	2571	2403.21	4362	154.44
lcl|AM181176.4_cds_CAY46652.1_365	801	633.211	43	5.77811
lcl|AM181176.4_cds_CAY46653.1_366	804	636.211	2134	285.403
lcl|AM181176.4_cds_CAY46654.1_367	960	792.211	1626	174.641
lcl|AM181176.4_cds_CAY46655.1_368	735	567.211	1196	179.412
lcl|AM181176.4_cds_CAY46656.1_369	1908	1740.21	99	4.8406
lcl|AM181176.4_cds_CAY46657.1_370	1917	1749.21	819	39.8389
lcl|AM181176.4_cds_CAY46658.1_371	708	540.211	324	51.0325
lcl|AM181176.4_cds_CAY46659.1_372	792	624.211	798	108.777
